Source,Target,Type,Id,Label,timeset,Weight,1,2,3,5,6
Denmark,Ottoman Empire,Undirected,217,,,3,-,"1798  ","1802  ","War of the Second CoalitionPart of the French Revolutionary Wars  ",2
Denmark,Denmark,Undirected,204,,,1,-,"1618  ","1648  ","Thirty Years' War  ",0
Norway,Libya,Undirected,679,,,1,-,"2011  ","2011  ","Libyan Civil War (2011)  ",0
Norway,Pakistan,Undirected,678,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Norway,North Korea,Undirected,611,,,1,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",0
Norway,Egypt,Undirected,605,,,2,-,"1969  ","Ongoing  ","Moro insurgency in the Philippines  ",1
Norway,Iran,Undirected,586,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Norway,Soviet Union,Undirected,559,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Norway,Iraq,Undirected,517,,,3,-,"1969  ","Ongoing  ","Moro insurgency in the Philippines  ",2
Norway,China,Undirected,504,,,3,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",2
Norway,Japan,Undirected,482,,,1,-,"1939  ","1945  ","World War II  ",0
Sweden,Libya,Undirected,852,,,1,-,"2011  ","2011  ","Libyan Civil War (2011)  ",0
Sweden,Iran,Undirected,851,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Sweden,Pakistan,Undirected,850,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Sweden,Cuba,Undirected,752,,,1,-,"1960  ","1965  ","Congo Crisis  ",0
Sweden,China,Undirected,730,,,2,-,"1960  ","1965  ","Congo Crisis  ",1
Sweden,North Korea,Undirected,729,,,1,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",0
Sweden,French Empire,Undirected,710,,,4,-,"1815  ","1815  ","Hundred DaysWar of the Seventh Coalition  ",3
Sweden,Ottoman Empire,Undirected,709,,,1,-,"1801  ","1805  ","First Barbary War  ",0
Portugal,Iran,Undirected,1032,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Portugal,Pakistan,Undirected,1026,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Portugal,Yemen,Undirected,1017,,,1,-,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",0
Portugal,Nepal,Undirected,899,,,1,-,"1996  ","2006  ","Nepalese Civil War  ",0
Portugal,Mexico,Undirected,887,,,1,-,"1936  ","1939  ","Spanish Civil War  ",0
Portugal,Soviet Union,Undirected,886,,,1,-,"1936  ","1939  ","Spanish Civil War  ",0
Portugal,British Empire,Undirected,885,,,1,-,"1833  ","1840  ","First Carlist War  ",0
Portugal,Brazil,Undirected,884,,,1,-,"1822  ","1824  ","War of Independence of Brazil  ",0
Portugal,French Empire,Undirected,882,,,2,-,"1815  ","1815  ","Hundred DaysWar of the Seventh Coalition  ",1
Portugal,Portugal,Undirected,855,,,2,-,"1833  ","1840  ","First Carlist War  ",1
Portugal,Ottoman Empire,Undirected,853,,,2,-,"1714  ","1718  ","Ottoman–Venetian War (1714–18)  ",1
Ottoman Empire,Latvia,Undirected,1168,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Ottoman Empire,Estonia,Undirected,1167,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Ottoman Empire,Finland,Undirected,1166,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Ottoman Empire,Mongolia,Undirected,1165,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Ottoman Empire,China,Undirected,1164,,,1,-,"1914  ","1918  ","World War I  ",0
Ottoman Empire,San Marino,Undirected,1163,,,1,-,"1914  ","1918  ","World War I  ",0
Ottoman Empire,Brazil,Undirected,1162,,,1,-,"1914  ","1918  ","World War I  ",0
Ottoman Empire,Japan,Undirected,1161,,,1,-,"1914  ","1918  ","World War I  ",0
Ottoman Empire,New Zealand,Undirected,1160,,,1,-,"1914  ","1918  ","World War I  ",0
Ottoman Empire,India,Undirected,1159,,,1,-,"1914  ","1918  ","World War I  ",0
Ottoman Empire,British Empire,Undirected,1152,,,3,-,"1918  ","1920  ","Armenian–Azerbaijani WarPart of the Russian Civil War  ",2
Ottoman Empire,Belgium,Undirected,1151,,,1,-,"1914  ","1918  ","World War I  ",0
Ottoman Empire,Italy,Undirected,1149,,,2,-,"1914  ","1918  ","World War I  ",1
Ottoman Empire,Greece,Undirected,1145,,,4,-,"1914  ","1918  ","World War I  ",3
Ottoman Empire,Armenia,Undirected,1138,,,7,-,"1918  ","1920  ","Armenian–Azerbaijani WarPart of the Russian Civil War  ",6
Ottoman Empire,Macedonia,Undirected,1134,,,4,-,"1903  ","1903  ","Ilinden–Preobrazhenie Uprising  ",3
Ottoman Empire,Romania,Undirected,1132,,,2,-,"1914  ","1918  ","World War I  ",1
