SourceID,TargetID,relation,year_start,year_end
Sweden,Guinea,+,1960,1965
Sweden,Mali,+,1960,1965
Sweden,Sudan,+,1960,1965
Sweden,Liberia,+,1960,1965
Sweden,Canada,+,1960,1965
Sweden,Canada,+,2001,Ongoing
Sweden,Canada,+,2002,Ongoing
Sweden,India,+,1960,1965
Sweden,India,+,2002,Ongoing
Sweden,Indonesia,+,1960,1965
Sweden,United States,+,1960,1965
Sweden,United States,+,2001,Ongoing
Sweden,United States,+,2002,Ongoing
Sweden,Albania,+,2001,Ongoing
Sweden,Albania,+,2002,Ongoing
Sweden,Armenia,+,2001,Ongoing
Sweden,Armenia,+,2002,Ongoing
Sweden,Australia,+,2001,Ongoing
Sweden,Australia,+,2001,Ongoing
Sweden,Australia,+,2002,Ongoing
Sweden,Australia,+,2002,Ongoing
Sweden,Austria,+,2001,Ongoing
Sweden,Austria,+,2002,Ongoing
Sweden,Azerbaijan,+,2001,Ongoing
Sweden,Azerbaijan,+,2002,Ongoing
Sweden,Bahrain,+,2001,Ongoing
Sweden,Bahrain,+,2002,Ongoing
Sweden,Bosnia and Herzegovina,+,2001,Ongoing
Sweden,Bosnia and Herzegovina,+,2002,Ongoing
Sweden,Croatia,+,2001,Ongoing
Sweden,Croatia,+,2002,Ongoing
Sweden,Croatia,+,2002,Ongoing
Sweden,Czech Republic,+,2001,Ongoing
Sweden,Czech Republic,+,2001,Ongoing
Sweden,Czech Republic,+,2002,Ongoing
Sweden,Czech Republic,+,2002,Ongoing
Sweden,El Salvador,+,2001,Ongoing
Sweden,El Salvador,+,2002,Ongoing
Sweden,Estonia,+,2001,Ongoing
Sweden,Estonia,+,2002,Ongoing
Sweden,Finland,+,2001,Ongoing
Sweden,Finland,+,2002,Ongoing
Sweden,Georgia,+,2001,Ongoing
Sweden,Georgia,+,2001,Ongoing
Sweden,Georgia,+,2002,Ongoing
Sweden,Georgia,+,2002,Ongoing
Sweden,Germany,+,2001,Ongoing
Sweden,Germany,+,2001,Ongoing
Sweden,Germany,+,2002,Ongoing
Sweden,Germany,+,2002,Ongoing
Sweden,Greece,+,2001,Ongoing
Sweden,Greece,+,2002,Ongoing
Sweden,Iceland,+,2001,Ongoing
Sweden,Iceland,+,2002,Ongoing
Sweden,Jordan,+,2001,Ongoing
Sweden,Jordan,+,2002,Ongoing
Sweden,Latvia,+,2001,Ongoing
Sweden,Latvia,+,2002,Ongoing
Sweden,Lithuania,+,2001,Ongoing
Sweden,Lithuania,+,2002,Ongoing
Sweden,Luxembourg,+,2001,Ongoing
Sweden,Luxembourg,+,2002,Ongoing
Sweden,Malaysia,+,2001,Ongoing
Sweden,Malaysia,+,2002,Ongoing
Sweden,Mongolia,+,2001,Ongoing
Sweden,Mongolia,+,2002,Ongoing
Sweden,Montenegro,+,2001,Ongoing
Sweden,Montenegro,+,2002,Ongoing
Sweden,New Zealand,+,2001,Ongoing
Sweden,New Zealand,+,2002,Ongoing
Sweden,Singapore,+,2001,Ongoing
Sweden,Singapore,+,2002,Ongoing
Sweden,Slovakia,+,2001,Ongoing
