id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
70000000434	40	RODRIGO SOBRAL ROLLEMBERG	DF	PSB	SOMOS TODOS BRASÍLIA	PSB / SD / PDT / PSD	2º TURNO	1	692855	Governador
70000000434	40	RODRIGO SOBRAL ROLLEMBERG	DF	PSB	SOMOS TODOS BRASÍLIA	PSB / SD / PDT / PSD	ELEITO	2	812036	Governador
70000000810	29	PERCILLIANE MARRARA SILVA	DF	PCO	PARTIDO ISOLADO	PCO	NÃO ELEITO	1	0	Governador
70000000818	13	AGNELO SANTOS QUEIROZ FILHO	DF	PT	RESPEITO POR BRASÍLIA	PT / PMDB / PRB / PC do B / PRP / PPL / PV / PP / PTN / PT do B / PSC / PROS / PTC / PSL / PHS / PEN	NÃO ELEITO	1	307500	Governador
70000000984	45	LUIZ CARLOS PIETSCHMANN	DF	PSDB	SERIEDADE PARA MUDAR	PSDB / PPS / PSDC	NÃO ELEITO	1	68305	Governador
70000001541	22	JOFRAN FREJAT	DF	PR	UNIÃO E FORÇA	PTB / PR / DEM / PRTB / PMN	2º TURNO	1	428522	Governador
70000001541	22	JOFRAN FREJAT	DF	PR	UNIÃO E FORÇA	PTB / PR / DEM / PRTB / PMN	NÃO ELEITO	2	649587	Governador
80000000006	21	MAURO RIBEIRO	ES	PCB	FRENTE CLASSISTA E SOCIALISTA	PCB / PSTU	NÃO ELEITO	1	2126	Governador
80000000284	40	JOSÉ RENATO CASAGRANDE	ES	PSB	PRA FRENTE ESPÍRITO SANTO	PSB / PSDC / PSL / PP / PRTB / PT do B / PPS / PR / PSC / PSD / PTC / PC do B / PV / PHS / PTN / PPL / PMN / PRB / PTB	NÃO ELEITO	1	751293	Governador
80000000395	13	ROBERTO CARLOS TELES BRAGA	ES	PT	COM A FORÇA DO POVO CAPIXABA	PDT / PT	NÃO ELEITO	1	114691	Governador
80000000427	15	PAULO CESAR HARTUNG GOMES	ES	PMDB	O ESPIRITO SANTO PODE MUITO MAIS	PMDB / PSDB / DEM / SD / PEN / PROS / PRP	ELEITO	1	1020440	Governador
