id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
130000000421	290	MARIA DAS GRAÇAS SOUSA VIEIRA	MG	PCO	PARTIDO ISOLADO	PCO	NÃO ELEITO	1	7389	Senador
130000000532	270	JOSE TARCISIO DOS SANTOS	MG	PSDC	PARTIDO ISOLADO	PSDC	NÃO ELEITO	1	21785	Senador
130000000910	150	JOSUÉ CHRISTIANO GOMES DA SILVA	MG	PMDB	MINAS PRA VOCÊ	PT / PMDB / PC do B / PROS / PRB	NÃO ELEITO	1	3614720	Senador
130000001160	700	EDILSON JOSE DO NASCIMENTO	MG	PT do B	+MINAS	PT do B / PRP / PHS / PEN	NÃO ELEITO	1	11300	Senador
130000001246	400	MARGARIDA LUIZA DE MATOS VIEIRA	MG	PSB	MINAS QUER MUDANÇA	PSB / PPL / PRTB	NÃO ELEITO	1	192649	Senador
130000001760	210	PABLO LUIZ DE OLIVEIRA LIMA	MG	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	20183	Senador
130000001777	456	ANTONIO AUGUSTO JUNHO ANASTASIA	MG	PSDB	TODOS POR MINAS	PSDB / PP / DEM / PSD / PTB / PPS / PV / PDT / PR / PMN / PSC / PSL / PTC / SD	ELEITO	1	5102987	Senador
140000000034	433	SIMÃO HERNAN BENDAYAN	PA	PV	PARTIDO ISOLADO	PV	NÃO ELEITO	1	14058	Senador
140000000150	500	PEDRO HOLANDA MAIA	PA	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	28547	Senador
140000000153	161	ANGELA SOARES DE AZEVEDO	PA	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	10385	Senador
140000000211	777	MARCELA GIOVANA GUSMÃO TOLENTINO DE MATOS	PA	SD	PARTIDO ISOLADO	SD	NÃO ELEITO	1	94387	Senador
140000000340	555	HELENILSON CUNHA PONTES	PA	PSD	PARTIDO ISOLADO	PSD	NÃO ELEITO	1	313525	Senador
140000000650	131	PAULO ROBERTO GALVAO DA ROCHA	PA	PT	TODOS PELO PARA	PMDB / PT / DEM / PC do B / PHS / PSL / PROS / PDT / PPL / PTN / PR	ELEITO	1	1566350	Senador
140000000796	111	JEFFERSON ELY VALE DE LIMA	PA	PP	PARTIDO ISOLADO	PP	NÃO ELEITO	1	741427	Senador
140000000871	456	MARIO COUTO FILHO	PA	PSDB	PARTIDO ISOLADO	PSDB	NÃO ELEITO	1	624401	Senador
150000000001	360	WALTER CORREIA DE BRITO FILHO	PB	PTC	PARTIDO ISOLADO	PTC	NÃO ELEITO	1	11063	Senador
150000000022	500	NELSON ALEIXO DA SILVA JÚNIOR	PB	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	11502	Senador
150000000054	133	LUCÉLIO CARTAXO PIRES DE SÁ	PB	PT	A FORÇA DO TRABALHO	PSB / PT / PDT / DEM / PRTB / PRP / PV / PSL / PC do B / PHS / PPL	NÃO ELEITO	1	521938	Senador
150000000158	155	JOSÉ TARGINO MARANHÃO	PB	PMDB	RENOVAÇÃO DE VERDADE	PMDB	ELEITO	1	647271	Senador
150000000333	161	SEVERINA DOS RAMOS SILVA DANTAS	PB	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	1461	Senador
150000000372	900	LEILA DE CÁSSIA TAVARES DA FONSECA	PB	PROS	PARTIDO ISOLADO	PROS	NÃO ELEITO	1	44627	Senador
150000000409	145	JOSÉ WILSON SANTIAGO	PB	PTB	A VONTADE DO POVO	PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP	NÃO ELEITO	1	506093	Senador
160000000023	505	LUIZ ROMEIRO PIVA	PR	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	50905	Senador
160000000321	151	MARCELO BELTRAO DE ALMEIDA	PR	PMDB	PARANÁ COM GOVERNO	PMDB / PV / PPL	NÃO ELEITO	1	465263	Senador
160000000560	456	ALVARO FERNANDES DIAS	PR	PSDB	TODOS PELO PARANÁ	PSDB / PROS / DEM / PSB / PSD / PTB / PP / PPS / PSC / PR / SD / PSL / PSDC / PMN / PHS / PEN / PT do B	ELEITO	1	4101848	Senador
160000000636	282	ADILSON DOS SANTOS SILVA	PR	PRTB	PARTIDO ISOLADO	PRTB	NÃO ELEITO	1	15720	Senador
160000000647	650	RICARDO CRACHINESKI GOMYDE	PR	PC do B	PARANÁ OLHANDO PRA FRENTE	PT / PDT / PC do B / PRB / PTN	NÃO ELEITO	1	666438	Senador
160000001024	444	MAURI VIANA PEREIRA	PR	PRP	PARTIDO ISOLADO	PRP	NÃO ELEITO	1	18073	Senador
160000001252	360	LUIZ ANTONIO BARBARA	PR	PTC	PARTIDO ISOLADO	PTC	NÃO ELEITO	1	0	Senador
170000000005	162	SIMONE FONTANA	PE	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	5689	Senador
170000000015	211	ANTONIO ELIAS PEREIRA	PE	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	2370	Senador
170000000026	400	FERNANDO BEZERRA DE SOUZA COELHO	PE	PSB	FRENTE POPULAR DE PERNAMBUCO	PMDB / PC do B / PSB / PTC / PRP / PV / PTN / PR / PSD / PPS / PSDB / SD / PPL / DEM / PHS / PSDC / PROS / PP / PEN / PRTB / PSL	ELEITO	1	2655912	Senador
170000000455	500	ALBANISE PIRES FERREIRA DE AZEVEDO	PE	PSOL	MOBILIZAÇÃO POR PODER POPULAR	PSOL / PMN	NÃO ELEITO	1	27319	Senador
170000000651	130	JOÃO PAULO LIMA E SILVA	PE	PT	PERNAMBUCO VAI MAIS LONGE	PTB / PT / PSC / PDT / PRB / PT do B	NÃO ELEITO	1	1436692	Senador
180000000003	160	GERALDO DO NASCIMENTO CARVALHO	PI	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	8274	Senador
180000000014	200	GUSTAVO HENRIQUE LEITE FEIJÓ	PI	PSC	PARTIDO ISOLADO	PSC	NÃO ELEITO	1	19286	Senador
180000000033	544	CLAUDIONOR CHAVES DE OLIVEIRA	PI	PPL	PARTIDO ISOLADO	PPL	NÃO ELEITO	1	3840	Senador
180000000046	400	WILSON NUNES MARTINS	PI	PSB	PIAUÍ NO CORAÇÃO	PMDB / PSDB / PSB / PRB / PDT / PSL / PTN / PPS / DEM / PSDC / PMN / PTC / PSD / PC do B / PT do B / PV / PEN	NÃO ELEITO	1	562615	Senador
180000000238	141	ELMANO FÉRRER DE ALMEIDA	PI	PTB	A VITÓRIA COM A FORÇA DO POVO	PT / PP / PTB / PHS / PR / PROS / PRP / SD	ELEITO	1	981219	Senador
190000000102	161	HEITOR FERNANDES FILHO	RJ	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	11444	Senador
190000000138	211	EDUARDO GONÇALVES SERRA	RJ	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	0	Senador
190000000410	500	PEDRO ROSA CABRAL	RJ	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	137652	Senador
190000000588	901	LILIAM SÁ DE PAULA	RJ	PROS	TRABALHISTA E REPUBLICANA	PROS / PR / PT do B	NÃO ELEITO	1	507872	Senador
190000000675	400	ROMÁRIO DE SOUZA FARIA	RJ	PSB	COLIGAÇÃO FRENTE POPULAR	PT / PV / PSB / PC do B	ELEITO	1	4683963	Senador
